Start.time,Completion.time,Name,Age,Gender,Nationality,Employment.status,Duration.of.your.studies.in.Segovia.,Type.of.home.you.live.in.,Square.footage.of.the.property.,Number.of.roommates,Area.or.neighborhood.in.Segovia.where.you.live,Email,Duration of your lease,How long do you      expect to stay in your current residence?,How much do you pay monthly in your rental contract,"Which services and costs are included in the contract (internet, gas, water..)","Do you have any other service contracted (laundry, cleaning...) Please list them",What are the monthly cost of these services,Did you find the appartment thorugh a platform/portal/agency? ,Which one? ,What were the main difficulties you encountered when searching for housing?
1970-01-01 12:41:11.462384,45673.9159207486,,20,Man,India,Only studying,2 years,Rental with a private landlord,200m2,0,Center,anonymous,10 mints academic year,I will move to another residence for the duration of my studies.,1500,No,cleaning and maintenance,-,Yes,Friend,
1970-01-01 12:41:12.497361,45674.1210127769,,20,Man,USA,Only studying,2 years,Student residence ,100,1,Center,,1 academic year,I will move to another residence for the duration of my studies.,590,Yes,Laundry and cleaning,included,No,beyond campus,
1970-01-01 12:41:06.476806,45665.9173316441,,19,Man,France,Only studying,6 months,Rental with a private landlord,15,0,San Facundo,,9  months,I will stay only as long as my studies last,1050,Yes,No,included,No,IE,High prices;None met my expectations;
1970-01-01 12:41:11.461725,45621.8225455553,,19,Man,Egypt,Only studying,2 years,Rental with a private landlord,100m2,4,Center,anonymous,Año académico.,I will move to another residence for the duration of my studies.,650,All foo,All but cleaning,NA,Yes,Beyond IE,Availability;
1970-01-01 12:41:12.491157,45615.6697847057,,19,Man,Spain,Only studying,2 years,Student residence ,200m2,1,San Lorenzo,anonymous,Academic year,I will stay only as long as my studies last,400,Yes,"towel and bed linen laundry, breakfast, lunch and dinner",included,No,Inn family,NA;
1970-01-01 12:40:18.885683,45641.9215643307,,19,Woman,Italy,Only studying,4 years,Rental with a private landlord,105,5,Calle Juan bravo,,Año académico.,I will move to another residence for the duration of my studies.,,yes,weekly cleaning and optional laundry,-,Yes,Idealista,Availability;
1970-01-01 12:40:15.778484,45657.3034664546,,19,Woman,Germany,Only studying,6 months,Rental with a company,130,5,Center,anonymous,1 curso académico,I will stay only as long as my studies last,650,Gas electric unit,"Half board, cleaning just common areas and weekly bathroom cleaning, bed linen and towels laundry",100,Yes,Strident houses,High prices;None met my expectations;
1970-01-01 12:41:06.513125,45611.7920601852,,19,Prefer not to say,El Salvador,Only studying,4 years,Rental with a private landlord,95,2,San Facundo,anonymous,Academic year,I will move to another residence for the duration of my studies.,750,Wi-Fi water everything,Food cleaning (Cara),Included,No,Friend,Availability;
1970-01-01 12:41:17.58191,45677.5885532407,,20,Woman,Española,Only studying,6 months,Student residence ,15,0,San Lorenzo,anonymous,1 year study,I will stay only as long as my studies last,1250,Internet agua electricidad,"Full Board, daily bedroom cleaning, weekly bed linen and towel laundry service",laundry for 25€,,Uniplaces,
1970-01-01 12:40:45.428924,45621.4123614987,,19,Man,Moldovan,Only studying,1 semester,Student residence ,10m2,0,Center,,,I will move to another residence for the duration of my studies.,820,all,Brwkfast and dinner,NA,No,Beyond camous,High prices;None met my expectations;
1970-01-01 12:41:06.498611,45670.6344482954,,20,Woman,Brazil,Only studying,2 years,Rental with a company,95,1,Acueduct,,6 months,I will stay only as long as my studies last,1000,Everything,50!yhree montha,included,No,,High prices;Availability;
1970-01-01 12:41:12.497361,45676.3770250884,,20,Man,Hungary,Only studying,9 months,Rental with a private landlord,75m,2,Center,anonymous,Study year,I will stay only as long as my studies last,500,all,Everything included,100,No,Ie,Availability;
1970-01-01 12:40:18.890069,45677.5885532407,,21,Man,Belgium,Studying and working ,2 años,Rental with a private landlord,15,2,Plaza mayor,anonymous,Study year,I will move to another residence for the duration of my studies.,700,No,Everything included,included,,,Availability;
1970-01-01 12:41:17.564988,45618.7461651305,,21,Woman,France,Only studying,1 year,Student residence ,20m2,5,Acueduct,,Study year,I will move to another residence for the duration of my studies.,400,all,Laundry and cleaning,50€ each full cleaning manteinance included,Yes,Vizcaínos idealista,High prices;
1970-01-01 12:40:29.810937,45677.5885532407,,19,Woman,Philippines,Only studying,4 years,Rental with a private landlord,300m2,2,center,anonymous,10 months,I will move to another residence for the duration of my studies.,650,No,"towel and bed linen laundry, breakfast, lunch and dinner",-,,Ie,High prices;None met my expectations;
1970-01-01 12:41:17.56162,45677.5885532407,,20,Woman,India,Only studying,2 year,Rental with a private landlord,Studio,2,San Nicolás,anonymous,1 academic year,I will move to another residence for the duration of my studies.,875,Yes,"towel and bed linen laundry, breakfast, lunch and dinner",,Yes,Friend,NA;
1970-01-01 12:41:17.525359,45671.4548164087,,18,Man,El Salvador,Only studying,2 years,Student residence ,10m2,1,"Residencia al lado,  center",,Ayuden year,I will stay only as long as my studies last,900,Yes,Laundry and cleaning,-,Yes,Idealista,Availability;
1970-01-01 12:41:17.535648,45671.4548164087,,18,Woman,USA,Only studying,4 years,Rental with a private landlord,20,3,Center,anonymous,Julio 2025,I will move to another residence for the duration of my studies.,1300,,Everything even healthcare,included,Yes,Sogeima,High prices;Availability;
1970-01-01 12:41:12.494572,45674.7362888618,,20,Woman,France,Only studying,9 months,Student residence ,147,1,Acueduct,anonymous,10 mints academic year,I will move to another residence for the duration of my studies.,1200,Internet agua electricidad,weekly cleaning and optional laundry,,No,,NA;
1970-01-01 12:40:29.810937,45677.5885532407,,22,Man,Phillipines,Only studying,9 months,Rental with a private landlord,300,1,Center,,6 month,I will stay only as long as my studies last,1150,all,"Daily cleaning, laundry, full board and parking",Included,No,Friend,Availability;High prices;
1970-01-01 12:41:06.50912,45632.4873310279,,20,Woman,El Salvador,Only studying,2 year,Student residence ,Studio,0,Plaza mayor,anonymous,,I will move to another residence for the duration of my studies.,1350,Everything,"Full Board, bed linen and towel laundry service",50€ each full cleaning manteinance included,Yes,Uniplaces,NA;
1970-01-01 12:40:29.819375,45674.9413808902,,20,Woman,Argentina,Only studying,2 year,Rental with a private landlord,20m2,2,San Nicolás,,Academics year,I will stay only as long as my studies last,,Yes,"towel and bed linen laundry, breakfast, lunch and dinner",-,No,Uniplaces,High prices;
1970-01-01 12:41:06.493299,45661.8154910777,,17,Woman,Hungary,Only studying,1 semester,Rental with a company,10m2,0,Factory,,Academic year,I will stay only as long as my studies last,1100,Internet agua electricidad,Everything even healthcare,NA,Yes,Idealista,High prices;
1970-01-01 12:41:17.543866,45677.5885532407,,17,Man,India,Only studying,2 years,Rental with a private landlord,60m2,0,Center,anonymous,Julio 2025,I will stay only as long as my studies last,1050,Wi-Fi water everything,Cleaning once a week,included,,beyond ie,Availability;
1970-01-01 12:41:06.48375,45623.6683738102,,19,Woman,Germany,Only studying,2 years,Rental with a company,120,1,San Lorenzo,anonymous,Ayuden year,I will stay only as long as my studies last,900,Everything,cleaning and maintenance,,No,Beyond ie,NA;
1970-01-01 12:41:17.543866,45677.5885532407,,18,Prefer not to say,Española,Only studying,2 years,Rental with a private landlord,20m2,0,Center,anonymous,Año académico.,I will stay only as long as my studies last,900,all,Limpieza opcional,Included,No,Betina camous,
1970-01-01 12:41:17.58191,45677.1973932017,,19,Woman,Hungary,Only studying,2y,Rental with a private landlord,147,0,Center,,6 month,I will move to another residence for the duration of my studies.,1100,,"Full Board, weekly bed linen and towel laundry service and cleaning",-,,Ie,NA;
1970-01-01 12:41:12.497361,45623.2581897536,,19,Man,Hungary,Only studying,4 years,Student residence ,200m2,0,Acueducto,,10 month,I will move to another residence for the duration of my studies.,1400,Everything,Cleaning and manteinance,NA,Yes,beyond campus,NA;
1970-01-01 12:41:17.517894,45659.1492947095,,22,Man,Hungría,Only studying,2 year,Rental with a private landlord,20m2,0,San Lorenzo,,Academic year,I will move to another residence for the duration of my studies.,960,yes,"towel and bed linen laundry, breakfast, lunch and dinner",NA,Yes,Uniplaces,NA;
1970-01-01 12:41:17.543866,45660.3798468794,,20,Woman,Spain,Only studying,2 year,Student residence ,30m2,3,San Lorenzo,anonymous,1 year study,I will stay only as long as my studies last,960,Internet agua electricidad,"Full Board, bed linen and towel laundry service",,Yes,Beyond IE,
1970-01-01 12:41:17.564988,45630.2313187164,,21,Woman,USA,Only studying,2 year,Rental with a private landlord,95,3,Center,,1 curso académico,I will stay only as long as my studies last,1540,All,cleaning and maintenance,NA,No,Inn family,High prices;
1970-01-01 12:41:11.462384,45647.253957067,,20,Man,India,Only studying,2y,Rental with a private landlord,80m2,5,Plaza mayor,anonymous,6 month,I will stay only as long as my studies last,1200,Gas electric unit,Breakfast cleaning gym,-,No,Housing platform (dont remember name),High prices;Availability;
1970-01-01 12:40:45.428924,45658.5340186246,,18,Man,Mexico,Only studying,6 month,Rental with a private landlord,100,2,Acueducto,,10 month,I will move to another residence for the duration of my studies.,1350,Gas electric unit,Cleaning Laundry,NA,,Sogeima,High prices;Availability;
1970-01-01 12:41:06.51912,45677.5885532407,,19,Man,Belgium,Only studying,1 year a half,Student residence ,150,1,Berber denporreros,,Julio 2025,I will stay only as long as my studies last,1350,Everything,All,,,Friend,Availability;
1970-01-01 12:41:17.55934,45629.2058585748,,20,Man,France,Only studying,2 years,Student residence ,300m2,0,Plaza mayor,,Julio 2025,I will stay only as long as my studies last,1250,Gas electric unit,"towel and bed linen laundry, breakfast, lunch and dinner",NA,Yes,Ie,NA;
1970-01-01 12:41:06.513125,45626.744754235,,18,Man,Hungary,Only studying,1 semester,Rental with a company,95,0,Center,,,I will move to another residence for the duration of my studies.,1540,All,All,,Yes,Ie,Availability;
1970-01-01 12:41:17.529201,45677.5885532407,,18,Woman,Ecuador,Only studying,2 años,Student residence ,20m2,0,Center,anonymous,Año académico.,I will stay only as long as my studies last,750,All,"Full Board, bedroom cleaning, bed linen and towel laundry service",NA,No,Housing platform (dont remember name),High prices;Availability;
1970-01-01 12:40:18.885683,45655.6627302281,,21,Woman,Italian,Only studying,1 year,Student residence ,10m2,1,Center,anonymous,6 months,I will stay only as long as my studies last,900,All,Everything even healthcare,Included,Yes,Beyond IE,Availability;
1970-01-01 12:41:11.461725,45673.5057366919,,18,Woman,Brazil,Only studying,4 years,Rental with a private landlord,95,1,Center,anonymous,Julio 2025,I will move to another residence for the duration of my studies.,1400,Yes,"Full Board, bedroom cleaning, bed linen and towel laundry service",Included,Yes,Betina camous,High prices;
1970-01-01 12:40:45.428924,45666.7376997574,,18,Woman,USA,Only studying,9 months,Student residence ,Studio,0,"Residencia al lado,  center",anonymous,1 academic year,I will stay only as long as my studies last,1000,Full board,,NA,Yes,Beyond ie,High prices;None met my expectations;
1970-01-01 12:41:06.513125,45677.5885532407,,20,Woman,Colombia,Only studying,1 year a half,Student residence ,300,0,Center,,9 month,I will move to another residence for the duration of my studies.,590,Wi-Fi water everything,"Full Board, bedroom cleaning, bed linen and towel laundry service",NA,,Beyind campos,High prices;None met my expectations;
1970-01-01 12:41:06.52463,45624.4887419235,,19,Man,Danish,Only studying,2 year,Student residence ,100,3,Acueduxy,anonymous,9 month,I will stay only as long as my studies last,1350,Wi-Fi water everything,Cleaning and food (media pensión),-,Yes,Te tal Agency,High prices;
1970-01-01 12:41:12.502083,45631.0516868297,,19,Woman,Mexico,Only studying,6 months,Rental with a private landlord,20m2,2,Acueducto,anonymous,Ayuden year,I will move to another residence for the duration of my studies.,275,No,Cleaning and manteinance,100,No,Strident houses,High prices;Availability;
1970-01-01 12:41:17.543866,45662.4307671626,,20,Man,Lebanon,Only studying,9 months,Student residence ,80m2,3,San Lorenzo,anonymous,Study year,I will stay only as long as my studies last,1300,Yes,No,laundry for 25€,Yes,Beyond campus,High prices;
1970-01-01 12:41:12.491157,45667.9682519273,,20,Woman,Danish,Only studying,9 months,Student residence ,100,3,San Nicolás,,10 month,I will move to another residence for the duration of my studies.,960,Internet agua electricidad,No,,No,Friend,NA;
1970-01-01 12:40:18.885683,45663.0460432476,,20,Woman,USA,Only studying,4 years,Student residence ,200m2,2,Calle Juan bravo,anonymous,1 curso académico,I will stay only as long as my studies last,1200,,Everything included,Included,No,Te tal Agency,High prices;Availability;
1970-01-01 12:41:06.52463,45673.9159207486,,18,Woman,Lebanese,Only studying,2 yeas,Student residence ,300m2,2,Center,,10 mints academic year,I will move to another residence for the duration of my studies.,1150,All foo,Laundry and cleaning,included,,Vizcaínos idealista,High prices;
1970-01-01 12:41:17.525359,45673.3006446636,,17,Man,USA,Only studying,2 year,Rental with a private landlord,200m2,0,San Lorenzo,,10 month,I will stay only as long as my studies last,730,No,Brwkfast and dinner,50€ each full cleaning manteinance included,Yes,Beyond ie,NA;
